y:Bottomhole Pressure,flow,u:Valve
0.0918,1.6876,0.3150
0.0866,1.6956,0.3150
0.0858,1.7076,0.3150
0.0875,1.7207,0.3150
0.0902,1.7335,0.3150
0.0933,1.7453,0.3150
0.0963,1.7560,0.3150
0.0991,1.7655,0.3150
0.1016,1.7739,0.3150
0.1038,1.7811,0.3150
0.1057,1.7874,0.3150
0.1074,1.7928,0.3150
0.1089,1.7975,0.3150
0.1102,1.8014,0.3150
0.1113,1.8049,0.3150
0.1122,1.8078,0.3150
0.1130,1.8103,0.3150
0.1137,1.8124,0.3150
0.1143,1.8142,0.3150
0.1148,1.8157,0.3150
0.1152,1.8170,0.3150
0.1156,1.8181,0.3150
0.1159,1.8190,0.3150
0.1161,1.8198,0.3150
0.1163,1.8204,0.3150
0.1165,1.8210,0.3150
0.1167,1.8215,0.3150
0.1201,1.8237,0.3150
0.1235,1.8247,0.3150
0.1269,1.8243,0.3150
0.1300,1.8226,0.3150
0.1327,1.8194,0.3150
0.1349,1.8149,0.3150
0.1366,1.8091,0.3150
0.1375,1.8022,0.3150
0.1377,1.7945,0.3150
0.1371,1.7862,0.3150
0.1357,1.7776,0.3150
0.1337,1.7691,0.3150
0.1311,1.7610,0.3150
0.1279,1.7537,0.3150
0.1244,1.7474,0.3150
0.1207,1.7426,0.3150
0.1170,1.7392,0.3150
0.1133,1.7375,0.3150
0.1099,1.7373,0.3150
0.1068,1.7388,0.3150
0.1041,1.7417,0.3150
0.1019,1.7459,0.3150
0.1003,1.7514,0.3150
0.1004,1.7582,0.3150
0.1013,1.7653,0.3150
0.1027,1.7723,0.3150
0.1042,1.7788,0.3150
0.1057,1.7847,0.3150
0.1071,1.7900,0.3150
0.1084,1.7947,0.3150
0.1096,1.7989,0.3150
0.1107,1.8025,0.3150
0.1117,1.8056,0.3150
0.1125,1.8083,0.3150
0.1151,1.8117,0.3150
0.1178,1.8141,0.3150
0.1207,1.8156,0.3150
0.1236,1.8161,0.3150
0.1264,1.8153,0.3150
0.1289,1.8134,0.3150
0.1310,1.8103,0.3150
0.1327,1.8060,0.3150
0.1339,1.8008,0.3150
0.1344,1.7947,0.3150
0.1343,1.7880,0.3150
0.1336,1.7809,0.3150
0.1323,1.7737,0.3150
0.1304,1.7667,0.3150
0.1280,1.7601,0.3150
0.1253,1.7543,0.3150
0.1223,1.7495,0.3150
0.1191,1.7458,0.3150
0.1160,1.7434,0.3150
0.1130,1.7424,0.3150
0.1102,1.7427,0.3150
0.1077,1.7443,0.3150
0.1055,1.7471,0.3150
0.1037,1.7510,0.3150
0.1024,1.7558,0.3150
0.1020,1.7616,0.3150
0.1025,1.7680,0.3150
0.1036,1.7743,0.3150
0.1049,1.7804,0.3150
0.1062,1.7860,0.3150
0.1075,1.7910,0.3150
0.1088,1.7956,0.3150
0.1099,1.7995,0.3150
0.1109,1.8030,0.3150
0.1131,1.8068,0.3150
0.1166,1.8105,0.3150
0.1188,1.8121,0.3150
0.1209,1.8129,0.3150
0.1237,1.8131,0.3150
0.1263,1.8122,0.3150
0.1286,1.8102,0.3150
0.1305,1.8071,0.3150
0.1320,1.8029,0.3150
0.1329,1.7978,0.3150
0.1334,1.7920,0.3150
0.1332,1.7857,0.3150
0.1324,1.7790,0.3150
0.1310,1.7723,0.3150
0.1292,1.7658,0.3150
0.1269,1.7598,0.3150
0.1243,1.7545,0.3150
0.1215,1.7502,0.3150
0.1185,1.7469,0.3150
0.1156,1.7449,0.3150
0.1128,1.7442,0.3150
0.1102,1.7447,0.3150
0.1079,1.7464,0.3150
0.1059,1.7492,0.3150
0.1043,1.7530,0.3150
0.1031,1.7576,0.3150
0.1025,1.7630,0.3150
0.1029,1.7691,0.3150
0.1039,1.7752,0.3150
0.1051,1.7811,0.3150
0.1064,1.7866,0.3150
