y: Angle of attack, u: Rudder deflection
0,0
-0.0003,0
-0.0006,0
-0.0009,0
-0.0012,0
-0.0015,0
-0.0018,0
-0.0021,0
-0.0024,0
-0.0026,0
-0.0029,0
-0.0031,0
-0.0034,0
-0.0036,0
-0.0038,0
-0.0040,0
-0.0042,0
-0.0044,0
-0.0046,0
-0.0047,0
-0.0048,0
-0.0050,0
-0.0051,0
-0.0052,0
-0.0052,0
-0.0053,0
-0.0054,0
-0.0054,0
-0.0054,0
-0.0054,0
-0.0054,0
-0.0054,0
-0.0054,0
-0.0054,0
-0.0053,0
-0.0052,0
-0.0052,0
-0.0051,0
-0.0050,0
-0.0049,0
-0.0048,0
-0.0047,0
-0.0046,0
-0.0044,0
-0.0043,0
-0.0042,0
-0.0040,0
-0.0039,0
-0.0037,0
-0.0035,0
-0.0034,0
-0.0032,0
-0.0031,0
-0.0029,0
-0.0028,0
-0.0026,0
-0.0024,0
-0.0023,0
-0.0021,0
-0.0020,0
-0.0018,0
-0.0017,0
-0.0015,0
-0.0014,0
-0.0013,0
-0.0011,0
-0.0010,0
-0.0009,0
-0.0008,0
-0.0007,0
-0.0006,0
-0.0005,0
-0.0004,0
-0.0004,0
-0.0003,0
-0.0002,0
-0.0002,0
-0.0001,0
-0.0001,0
-0.0001,0
-0.0000,0
-0.0000,0
-0.0000,0
0.0000,0
0.0000,0
-0.0000,0
-0.0000,0
-0.0000,0
-0.0001,0
-0.0001,0
-0.0001,0
-0.0002,0
-0.0002,0
-0.0003,0
-0.0003,0
-0.0004,0
-0.0005,0
-0.0005,0
-0.0006,0
-0.0007,0
-0.0008,0
-0.0008,0
-0.0009,0
-0.0010,0
-0.0011,0
-0.0012,0
-0.0012,0
-0.0013,0
-0.0014,0
-0.0015,0
-0.0016,0
-0.0016,0
-0.0017,0
-0.0018,0
-0.0019,0
-0.0020,0
-0.0020,0
-0.0021,0
-0.0022,0
-0.0022,0
-0.0023,0
-0.0024,0
-0.0024,0
-0.0025,0
-0.0025,0
-0.0026,0
-0.0026,0
-0.0026,0
-0.0027,0
-0.0027,0
-0.0027,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0028,0
-0.0027,0
-0.0027,0
-0.0027,0
-0.0027,0
-0.0026,0
-0.0026,0
-0.0026,0
-0.0025,0
-0.0025,0
-0.0024,0
-0.0024,0
-0.0024,0
-0.0023,0
-0.0023,0
-0.0022,0
-0.0022,0
-0.0022,0
-0.0021,0
-0.0021,0
-0.0020,0
-0.0020,0
-0.0019,0
-0.0019,0
-0.0019,0
-0.0018,0
-0.0018,0
-0.0017,0
-0.0017,0
-0.0017,0
-0.0016,0
-0.0016,0
-0.0016,0
-0.0016,0
-0.0015,0
-0.0015,0
-0.0015,0
-0.0015,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0
-0.0014,0.1745
-0.0014,0.1745
-0.0015,0.1745
-0.0016,0.1745
-0.0019,0.1745
-0.0024,0.1745
-0.0031,0.1745
-0.0040,0.1745
-0.0051,-0.1745
-0.0064,-0.1745
-0.0079,-0.1745
-0.0094,-0.1745
-0.0108,-0.1745
-0.0120,-0.1745
-0.0129,-0.1745
-0.0136,-0.1745
-0.0139,-0.1745
-0.0139,-0.1745
-0.0136,-0.1745
-0.0130,-0.1745
-0.0121,-0.1745
-0.0109,-0.1745
-0.0095,-0.1745
-0.0079,-0.1745
-0.0060,-0.1745
-0.0039,-0.1745
-0.0016,-0.1745
0.0009,-0.1745
0.0036,-0.1745
0.0064,-0.1745
0.0094,-0.1745
0.0125,-0.1745
0.0158,-0.1745
0.0191,-0.1745
0.0226,-0.1745
0.0261,-0.1745
0.0296,-0.1745
0.0333,0.1745
0.0369,0.1745
0.0405,0.1745
0.0439,0.1745
0.0470,0.1745
0.0497,0.1745
0.0520,0.1745
0.0537,0.1745
0.0550,0.1745
0.0557,-0.1745
0.0560,-0.1745
0.0558,-0.1745
0.0553,-0.1745
0.0547,-0.1745
0.0540,-0.1745
0.0533,-0.1745
0.0526,-0.1745
0.0520,-0.1745
0.0515,-0.1745
0.0510,-0.1745
0.0507,-0.1745
0.0504,-0.1745
0.0502,-0.1745
0.0500,-0.1745
0.0499,-0.1745
0.0498,-0.1745
0.0498,-0.1745
0.0499,-0.1745
0.0499,-0.1745
0.0501,-0.1745
0.0503,-0.1745
0.0505,-0.1745
0.0508,-0.1745
0.0511,-0.1745
0.0514,-0.1745
0.0518,-0.1745
0.0522,-0.1745
0.0527,-0.1745
0.0532,-0.1745
0.0537,-0.1745
0.0542,-0.1745
0.0548,-0.1745
0.0553,-0.1745
0.0559,-0.1745
0.0565,-0.1745
0.0571,-0.1745
0.0577,-0.1745
0.0583,-0.1745
0.0589,-0.1745
0.0595,-0.1745
0.0601,-0.1745
0.0607,-0.1745
0.0613,-0.1745
0.0619,0.1745
0.0624,0.1745
0.0629,0.1745
0.0632,0.1745
0.0631,0.1745
0.0627,0.1745
0.0619,0.1745
0.0606,0.1745
0.0588,0.1745
0.0566,0.1745
0.0539,0.1745
0.0508,0.1745
0.0474,0.1745
0.0436,0.1745
0.0394,0.1745
0.0350,0.1745
0.0303,0.1745
0.0253,0.1745
0.0202,0.1745
0.0148,0.1745
0.0092,0.1745
0.0035,0.1745
-0.0023,0.1745
-0.0082,0.1745
-0.0142,0.1745
-0.0203,0.1745
-0.0264,0.1745
-0.0325,0.1745
-0.0386,0.1745
-0.0447,0.1745
-0.0507,0.1745
-0.0566,0.1745
-0.0624,0.1745
-0.0681,0.1745
-0.0736,0.1745
-0.0790,0.1745
-0.0841,0.1745
-0.0891,0.1745
-0.0938,0.1745
-0.0983,0.1745
-0.1025,-0.1745
-0.1064,-0.1745
-0.1100,-0.1745
-0.1131,-0.1745
-0.1156,-0.1745
-0.1174,-0.1745
-0.1185,-0.1745
-0.1189,-0.1745
-0.1184,-0.1745
-0.1173,-0.1745
-0.1154,-0.1745
-0.1128,-0.1745
-0.1096,-0.1745
-0.1057,-0.1745
-0.1013,-0.1745
-0.0963,-0.1745
-0.0908,-0.1745
-0.0848,-0.1745
-0.0785,-0.1745
-0.0717,-0.1745
-0.0645,-0.1745
-0.0571,-0.1745
-0.0494,-0.1745
-0.0414,-0.1745
-0.0333,-0.1745
-0.0250,-0.1745
-0.0165,0.1745
-0.0080,0.1745
0.0005,0.1745
0.0089,0.1745
0.0170,0.1745
0.0247,0.1745
0.0319,0.1745
0.0386,0.1745
0.0448,0.1745
0.0503,0.1745
0.0553,0.1745
0.0596,0.1745
0.0634,0.1745
0.0666,0.1745
0.0692,0.1745
0.0712,0.1745
0.0726,0.1745
0.0735,0.1745
0.0738,0.1745
0.0736,0.1745
0.0728,0.1745
0.0715,0.1745
0.0698,0.1745
0.0675,0.1745
0.0648,0.1745
0.0617,0.1745
0.0581,0.1745
0.0542,-0.1745
0.0499,-0.1745
0.0454,-0.1745
0.0407,-0.1745
